Category: All categories,,,
,,,
,Jupyter Notebook: (United States),Python: (United States),San Diego Super Computer: (United States)
2019-07-28,2,83,0
2019-08-04,2,82,0
2019-08-11,2,80,0
2019-08-18,2,82,0
2019-08-25,2,82,
2019-09-01,2,80,0
2019-09-08,2,95,0
2019-09-15,2,94,0
2019-09-22,2,99,0
2019-09-29,,99,0
2019-10-06,2,100,0
2019-10-13,2,97,
2019-10-20,2,94,0
2019-10-27,2,93,0
2019-11-03,2,96,0
2019-11-10,2,92,0
2019-11-17,2,94,0
2019-11-24,1,,0
2019-12-01,2,84,0
2019-12-08,2,78,0
2019-12-15,1,72,0
2019-12-22,1,45,0
2019-12-29,1,,0
2020-01-05,1,72,0
2020-01-12,2,81,0
2020-01-19,2,82,0
2020-01-26,2,90,0
2020-02-02,2,96,0
2020-02-09,,97,0
2020-02-16,2,97,
2020-02-23,2,97,0
2020-03-01,2,93,0
2020-03-08,2,81,0
2020-03-15,1,74,0
2020-03-22,2,80,0
2020-03-29,2,84,0
2020-04-05,2,91,0
2020-04-12,2,90,0
2020-04-19,2,88,0
2020-04-26,2,90,0
2020-05-03,2,89,0
2020-05-10,2,83,0
2020-05-17,2,83,0
2020-05-24,2,78,0
2020-05-31,2,80,0
2020-06-07,2,86,0
2020-06-14,1,82,0
2020-06-21,2,83,0
2020-06-28,2,77,0
2020-07-05,2,85,0
2020-07-12,2,87,0
2020-07-19,1,75,0
